index	score	sentence1	sentence2
51	4.4	ایک چھوٹا لڑکا کی بورڈ بجا رہا ہے ۔	ایک لڑکا کلیدی تختہ کھیل رہا ہے ۔
52	3.75	ایک آدمی گٹار بجا رہا ہے ۔	ایک آدمی برقی گٹار بجا رہا ہے ۔
53	4.75	ایک کتا بچے کو چاٹتا ہے ۔	ایک کتا بچے کو چاٹ رہا ہے ۔
54	3.2	ایک عورت پیاز کاٹ رہی ہے ۔	ایک آدمی پیاز کاٹ رہا ہے ۔
55	1.556	ایک آدمی گٹار بجا رہا ہے ۔	ایک آدمی ڈھول بجا رہا ہے ۔
56	3.938	ایک عورت کالی مرچ کاٹ رہی ہے ۔	ایک عورت سرخ مرچ کاٹ رہی ہے ۔
57	5	ایک آدمی ڈھول بجا رہا ہے ۔	ایک آدمی ڈھول بجاتا ہے ۔
58	5	ایک عورت گھوڑے پر سوار ہے ۔	ایک عورت گھوڑے پر سوار ہے ۔
59	4	ایک آدمی درخت کے پاس کیلا کھا رہا ہے ۔	ایک آدمی کیلا کھا رہا ہے ۔
60	1.6	ایک بلی کلیدی تختہ بجا رہی ہے ۔	ایک آدمی دو کی بورڈ بجا رہا ہے ۔
61	4.75	ایک آدمی کلہاڑی سے ایک درخت کاٹتا ہے ۔	ایک آدمی کلہاڑی سے ایک درخت کاٹ رہا ہے ۔
62	3.5	ایک بچہ کھلونا فون کے ساتھ کھیل رہا ہے ۔	ایک چھوٹا لڑکا کھلونا فون کے ساتھ کھیل رہا ہے ۔
63	1.4	ایک آدمی موٹر سائیکل چلا رہا ہے ۔	ایک آدمی گھوڑے پر سوار ہے ۔
64	1.4	ایک آدمی موٹر سائیکل چلا رہا ہے ۔	ایک آدمی گھوڑے پر سوار ہے ۔
65	4	ایک گلہری حلقوں میں گھوم رہی ہے ۔	ایک گلہری حلقوں میں گھومتی ہے ۔
66	5	ایک مرد اور ایک عورت بوسہ لے رہے ہیں ۔	ایک مرد اور عورت بوسہ لیتے ہیں ۔
67	3.833	ایک آدمی گاڑی میں سوار ہو رہا ہے ۔	ایک آدمی گیراج میں گاڑی میں سوار ہو رہا ہے ۔
68	0.6	ایک آدمی ناچ رہا ہے ۔	ایک آدمی بات کر رہا ہے ۔
69	2.917	ایک آدمی گٹار بجا رہا ہے اور گا رہا ہے ۔	ایک آدمی گٹار بجا رہا ہے ۔
70	4.2	ایک شخص مشروم کاٹ رہا ہے ۔	ایک شخص چاقو سے مشروم کاٹ رہا ہے ۔
71	2	شیر کا بچہ آواز اٹھا رہا ہے ۔	ایک شیر ادھر ادھر گھوم رہا ہے ۔
72	2.6	ایک شخص پیاز کاٹ رہا ہے ۔	ایک شخص پیاز چھیل رہا ہے ۔
73	1.6	ایک آدمی پیانو بجا رہا ہے ۔	ایک آدمی صور بجا رہا ہے ۔
74	2	ایک عورت آلو چھیل رہی ہے ۔	ایک عورت سیب چھیل رہی ہے ۔
75	4.2	پانڈا بانس کھا رہا ہے ۔	ایک پانڈا ریچھ کچھ بانس کھا رہا ہے ۔
76	2	ایک شخص پیاز چھیل رہا ہے ۔	ایک شخص بینگن چھیل رہا ہے ۔
77	4.8	ایک بندر دوسرے بندر کو دھکیلتا ہے ۔	بندر نے دوسرے بندر کو دھکیل دیا ۔
78	4.4	ایک گلہری حلقوں میں گھومتی ہے ۔	ایک گلہری حلقوں میں حرکت کر رہی ہے ۔
79	5	ایک آدمی اپنا جوتا باندھ رہا ہے ۔	ایک آدمی اپنا جوتا باندھتا ہے ۔
80	3	ایک لڑکا گا رہا ہے اور پیانو بجا رہا ہے ۔	ایک لڑکا پیانو بجا رہا ہے ۔
81	4.25	ایک کتا تربوز کھا رہا ہے ۔	ایک کتا تربوز کا ٹکڑا کھا رہا ہے ۔
82	4.25	ایک عورت بروکولی کاٹ رہی ہے ۔	ایک عورت چھری سے بروکولی کاٹ رہی ہے ۔
83	3.8	ایک آدمی آلو چھیل رہا ہے ۔	ایک آدمی نے آلو چھیل دیا ۔
84	2.4	ایک عورت گٹار بجا رہی ہے ۔	ایک آدمی گٹار بجاتا ہے ۔
85	1.6	ایک عورت ٹماٹر کاٹ رہی ہے ۔	ایک آدمی پیاز کاٹ رہا ہے ۔
86	2	ایک آدمی پانی کے اندر تیرتا ہے ۔	ایک عورت پانی کے اندر تیر رہی ہے ۔
87	1.6	ایک مرد اور عورت بات کر رہے ہیں ۔	ایک مرد اور عورت کھا رہے ہیں ۔
88	4	ایک چھوٹا کتا یوگا بال کا پیچھا کر رہا ہے ۔	ایک کتا گیند کا پیچھا کر رہا ہے ۔
89	2.2	مرد کرکٹ کھیل رہے ہیں ۔	مرد باسکٹ بال کھیل رہے ہیں ۔
90	4.4	ایک آدمی موٹر سائیکل پر سوار ہو کر چلا جاتا ہے ۔	ایک آدمی موٹر سائیکل پر سوار ہے ۔
91	3.6	ایک آدمی گٹار بجا رہا ہے ۔	ایک آدمی گا رہا ہے اور گٹار بجا رہا ہے ۔
92	3.6	آدمی فون پر بات کر رہا تھا ۔	آدمی فون پر بات کر رہا ہے ۔
93	0.5	ایک آدمی مچھلی پکڑ رہا ہے ۔	ایک آدمی ورزش کر رہا ہے ۔
94	0.8	ایک آدمی لہرا رہا ہے ۔	ایک آدمی بات کر رہا ہے ۔
95	0.6	دو لڑکے گاڑی چلا رہے ہیں ۔	دو بے رقص کر رہے ہیں ۔
96	2.6	ایک آدمی گھوڑے پر سوار ہے ۔	ایک لڑکی گھوڑے پر سوار ہے ۔
97	2	ایک آدمی سائیکل چلا رہا ہے ۔	ایک بندر سائیکل چلا رہا ہے ۔
98	2.2	ایک آدمی آلو کاٹ رہا ہے ۔	ایک عورت آلو چھیل رہی ہے ۔
99	2.4	ایک عورت آلو چھیل رہی ہے ۔	ایک آدمی آلو کاٹ رہا ہے ۔
100	3.6	ایک آدمی گٹار بجا رہا ہے ۔	کوئی گٹار بجا رہا ہے ۔
101	2.2	ایک عورت لک کاٹ رہی ہے ۔	ایک عورت ادرک کاٹ رہی ہے ۔
102	4.8	آدمی نے ایک کاغذ کی پلیٹ کاٹ دی ۔	ایک آدمی کاغذ کی پلیٹ کاٹ رہا ہے ۔
103	1.643	آدمی گٹار بجا رہا ہے ۔	ایک آدمی بانسری بجا رہا ہے ۔
104	1.75	ایک آدمی پیانو بجا رہا ہے ۔	آدمی وائلن بجا رہا ہے ۔
105	2.25	ایک عورت کچھ گوشت کاٹ رہی ہے ۔	ایک عورت گوشت پر بریڈ لگا رہی ہے ۔
106	4	ایک آدمی اپنے کی بورڈ پر کھیل رہا ہے ۔	ایک آدمی کی بورڈ پیانو بجا رہا ہے ۔
107	4.8	خاتون نے سبز پیاز کو کاٹ دیا ۔	خاتون نے سبز پیاز کاٹی ۔
108	3.2	کوئی پانی میں نوڈلز رکھ رہا ہے ۔	ایک عورت پانی میں نوڈلز ابال رہی ہے ۔
109	4	لیونل رچی چھت پر رقص کر رہا ہے ۔	لیونل رچی چھت پر کھڑے ہو کر رقص کر رہے ہیں ۔
110	4.4	ایک آدمی پیانو بجا رہا ہے ۔	ایک شخص پیانو بجا رہا ہے ۔
111	4.6	ایک عورت بانسری بجا رہی ہے ۔	ایک عورت بانسری بجاتی ہے ۔
112	3.8	ایک لڑکا کیلنڈر چیک کر رہا ہے ۔	ایک لڑکا کیلنڈر دیکھ رہا ہے ۔
113	4.8	ایک عورت پیاز کاٹ رہی ہے ۔	ایک عورت پیاز کاٹ رہی ہے ۔
114	4.857	ایک آدمی گٹار بجا رہا ہے ۔	ایک آدمی گٹار بجاتا ہے ۔
115	5	ایک عورت سلائی مشین استعمال کر رہی ہے ۔	ایک عورت مشین پر سلائی کر رہی ہے ۔
116	2.533	ایک عورت پینکیکس پلٹ رہی ہے ۔	ایک کارٹون شیف پینکیکس پلٹ رہا ہے ۔
117	1	ایک آدمی سڑک پر دوڑ رہا ہے ۔	ایک کار سڑک پر چل رہی ہے ۔
118	1	ایک آدمی گھوڑے پر سوار ہے ۔	ایک آدمی فون پر بات کر رہا ہے ۔
119	2	ایک آدمی سائیکل چلا رہا ہے ۔	ایک آدمی گھوڑے پر سوار ہے ۔
120	0.143	ایک عورت ناچ رہی ہے ۔	ایک آدمی کھا رہا ہے ۔
121	2	ایک آدمی پیانو بجا رہا ہے ۔	ایک آدمی بانسری بجا رہا ہے ۔
122	1.6	ایک آدمی بانسری بجا رہا ہے ۔	ایک آدمی پیانو بجا رہا ہے ۔
123	1.6	ایک آدمی گھوم رہا ہے ۔	ایک آدمی ناچ رہا ہے ۔
124	3.4	ایک بندر اعضاء سے اعضاء کی طرف جھول رہا ہے ۔	ایک بندر ایک درخت سے دوسرے درخت پر جھول رہا ہے ۔
125	4	لوگ ٹرین سے اتر گئے ۔	لوگ اسٹیشن پر ٹرین سے اتر گئے ۔
126	4.8	ایک کتا ٹرامپولین پر کود رہا ہے ۔	ایک کتا ٹرامپولین پر اچھالتا ہے ۔
127	2.5	ایک لڑکا آلہ بجا رہا ہے ۔	ایک آدمی صور بجا رہا ہے ۔
128	1.75	ایک عورت گٹار بجاتی ہے ۔	ایک آدمی گاتا ہے اور گٹار بجاتا ہے ۔
129	1	ایک عورت ڈبہ اٹھا رہی ہے ۔	ایک عورت ٹماٹر کاٹ رہی ہے ۔
130	5	ایک آدمی رسی چڑھ رہا ہے ۔	ایک آدمی رسی پر چڑھتا ہے ۔
131	1.4	ایک آدمی گاڑی اٹھا رہا ہے ۔	ایک آدمی دیوار پر چڑھ رہا ہے ۔
132	4	ایک مرد اور عورت جیپ میں سڑک پر چل رہے ہیں ۔	ایک مرد اور عورت ایک کھلی ہوائی گاڑی میں سڑک پر چل رہے ہیں ۔
133	3.8	بغیر قمیض والا آدمی کرسی پر بیٹھ گیا ۔	ایک بغیر قمیض والا آدمی کرسی پر بیٹھا ہے ۔
134	4	دو عورتیں کشتی لڑ رہی ہیں ۔	دو عورتیں فرش پر کشتی لڑ رہی ہیں ۔
135	4	کتا نیلے رنگ کی ٹینس بال سے کھیل رہا تھا ۔	ایک کتا ٹینس بال کے ساتھ کھیل رہا ہے ۔
136	4.8	کانگرو کچھ کھا رہا ہے ۔	ایک کینگرو کھا رہا ہے ۔
137	0.6	ایک بلی پیانو بجا رہی ہے ۔	ایک آدمی گٹار بجا رہا ہے ۔
138	4.75	اس شخص نے چاقو سے کچھ قالین کاٹا ۔	ایک آدمی چاقو سے قالین کاٹ رہا ہے ۔
139	2.2	ایک عورت سڑک کے نیچے موٹر والے سکوٹر پر سوار ہے ۔	ایک آدمی موٹر سکوٹر چلا رہا ہے ۔
140	3	کوئی سبزی کاٹ رہا ہے ۔	کوئی ٹماٹر کاٹ رہا ہے ۔
141	0	ایک عورت ناچ رہی ہے ۔	ایک آدمی بات کر رہا ہے ۔
142	2.2	ایک کتا بچے کا رال چاٹ رہا ہے ۔	ایک کتا بچے کو چاٹتا ہے ۔
143	0.4	ایک آدمی کشتی چلا رہا ہے ۔	ایک آدمی ٹماٹر کاٹ رہا ہے ۔
144	4.8	ایک آدمی آلو کاٹتا ہے ۔	ایک آدمی آلو کاٹ رہا ہے ۔
145	4.8	ایک عورت لہسن کاٹ رہی ہے ۔	عورت لہسن کاٹ رہی ہے ۔
146	3.8	ایک جانور دائرے میں دوڑتا ہے ۔	ایک گلہری حلقوں میں دوڑتی ہے ۔
147	3	ایک آدمی رسی کے پل کے پار آہستہ چل رہا ہے ۔	ایک لڑکا پل کے پار چل رہا ہے ۔
148	4	ایک آدمی گٹار بجا رہا ہے ۔	ایک آدمی کمرے میں بیٹھا گٹار بجا رہا ہے ۔
149	5	ایک آدمی بانسری بجاتا ہے ۔	ایک آدمی بانسری بجا رہا ہے ۔
150	3.8	ایک عورت شیشے کے پیالے میں دو انڈے توڑتی ہے ۔	ایک عورت ایک پیالے میں انڈے توڑ رہی ہے ۔
151	3	ایک آدمی مچھلی کاٹ رہا ہے ۔	ایک آدمی مچھلی پکڑ رہا ہے ۔
152	4.4	دو آدمی کار کے ٹرنک میں سوٹ کیس پیک کر رہے ہیں ۔	مرد کار کے ٹرنک میں سوٹ کیس ڈال رہے ہیں ۔
153	3.8	ایک آدمی کچھ ٹماٹروں پر تیل ڈالتا ہے ۔	آدمی نے کٹے ہوئے ٹماٹر پر تیل ڈالا ۔
154	3	ایک آدمی کچھ کاٹ رہا ہے ۔	ایک آدمی ایک بن کاٹ رہا ہے ۔
155	0.667	ایک آدمی کینو کو پیڈل کر رہا ہے ۔	ایک آدمی ہارپ بجا رہا ہے ۔
156	4	ایک مرد اور عورت ایک ساتھ جنگل سے گزر رہے ہیں ۔	ایک مرد اور عورت بازو میں بازو ڈال کر جنگلی علاقے میں چل رہے ہیں ۔
157	3.75	عورت نے کینگرو اٹھایا ۔	ایک عورت بچے کے کینگرو کو اٹھاتی ہے ۔
158	4.133	مچھلیاں تیر رہی ہیں ۔	ایک مچھلی تیر رہی ہے ۔
159	4	دو خواتین فوڈ پروسیسر میں کچھ ملاتی ہیں ۔	دو خواتین بلینڈر میں کچھ بناتی ہیں ۔
160	3.6	ایک شخص ایک بڑی لہر پر سرفنگ کر رہا ہے ۔	ایک شخص سرفنگ کر رہا ہے ۔
161	1.2	ایک آدمی گٹار بجا رہا ہے ۔	ایک آدمی ایک ہدف کو چھرا گھونپ رہا ہے ۔
162	1.6	ایک آدمی بینڈ میں بانسری بجا رہا ہے ۔	ایک آدمی گٹار بجا رہا ہے ۔
163	4	اس آدمی نے روٹی پر مکھن پھیلا دیا ۔	ایک آدمی روٹی پر مکھن پھیلا رہا ہے ۔
164	4	ایک شخص نوڈلز کو ابال رہا ہے ۔	ایک عورت پانی میں نوڈلز ابال رہی ہے ۔
165	3.2	لوگوں کا ایک گروہ ایک پہاڑی پر رقص کر رہا ہے ۔	لوگوں کا ایک گروہ رقص کر رہا ہے ۔
166	1	ایک آدمی باہر رقص کر رہا ہے ۔	ایک آدمی بانسری بجا رہا ہے ۔
167	1	ایک عورت ایک مرد کو کھانا کھلا رہی ہے ۔	ایک عورت گوشت ملا رہی ہے ۔
168	0.6	ایک آدمی تندور میں پین ڈال رہا ہے ۔	ایک عورت پیاز کاٹ رہی ہے ۔
169	0.4	ایک عورت میز پر بیٹھی ہے ۔	ایک عورت گدھے پر سوار ہے ۔
170	3.4	ڈاکٹر ایک مریض کو سٹریچر پر لے جاتے ہیں ۔	ایک ڈاکٹر ایک مریض کو سٹریچر پر لے جاتا ہے ۔
171	3.6	ایک عورت اسٹیج پر بانسری بجا رہی ہے ۔	عورت بانسری بجا رہی ہے ۔
172	3	دو بچے پانڈا کھیل رہے ہیں ۔	دو پانڈا ایک ساتھ لیٹے ہوئے ہیں ۔
173	4	ایک بچہ ہنس رہا ہے ۔	ایک بچہ ہنس رہا ہے اور کھلکھلا رہا ہے ۔
174	1.2	ایک آدمی گٹار بجا رہا ہے ۔	ایک لڑکا پیانو بجا رہا ہے ۔
175	0.6	ایک آدمی کاغذ کو تہہ کر رہا ہے ۔	ایک عورت کالی مرچ کاٹ رہی ہے ۔
176	1.6	تین عورتیں رقص کر رہی ہیں ۔	آدمی ناچ رہا ہے ۔
177	2.6	بلیاں ایک دوسرے کے ساتھ کھیل رہی ہیں ۔	دو بلیاں آپس میں لڑ رہی ہیں ۔
178	3.6	ایک شخص لکھ رہا ہے ۔	ایک شخص پنسل سے لکھ رہا ہے ۔
179	3.5	ایک آدمی دوڑ رہا ہے ۔	ایک آدمی سڑک پر دوڑ رہا ہے ۔
180	3.765	عورت آٹا رول کر رہی ہے ۔	ایک عورت آٹے پر آٹا لگا کر اسے رول کر رہی ہے ۔
181	2.75	ایک عورت گوشت پر مصالحے ڈال رہی ہے ۔	عورت گوشت میں چینی شامل کر رہی ہے ۔
182	2.25	ایک عورت مچھلیوں پر تیل ملا رہی ہے ۔	ایک عورت مچھلیوں پر پانی ڈال رہی ہے ۔
183	2.75	ایک نوجوان لڑکا گٹار تھامے ہوئے ہے ۔	ایک چھوٹا لڑکا گٹار بجا رہا ہے ۔
184	3.8	ایک چیتا دوڑ رہا ہے ۔	ایک چیتا میدان میں دوڑ رہا ہے ۔
185	4.8	آدمی پیزا کھا رہا ہے ۔	ایک آدمی پیزا کا ٹکڑا کھا رہا ہے ۔
186	3.6	ایک اورنگوٹان بس میں سوار ہے ۔	ایک بندر بس میں سوار ہے ۔
187	1.2	ایک مرد اور ایک عورت کھانے میں بات کر رہے ہیں ۔	ایک مرد اور ایک عورت سائیکل پر سوار ہیں ۔
188	0.4	ایک آدمی گٹار بجا رہا ہے ۔	ایک آدمی شیشے کے دروازے کی صفائی کر رہا ہے ۔
189	2.4	ایک لڑکی گا رہی ہے اور گٹار بجا رہی ہے ۔	ایک نوجوان گٹار بجاتے ہوئے گا رہا ہے ۔
190	3.941	ایک لڑکی اشاروں کی زبان سے بات چیت کر رہی ہے ۔	ایک نوجوان لڑکی اشاروں کی زبان استعمال کر رہی ہے ۔
191	0.5	ایک عورت وزن کی مشقیں کر رہی ہے ۔	ایک عورت اپنے بال بنا رہی ہے ۔
192	3.75	ایک آدمی گاڑی کے اندر داخل ہو رہا ہے ۔	ایک بزرگ آدمی سرخ کار میں سوار ہو رہا ہے ۔
193	4	ایک بڑی سبز گیند آلو کے اوپر دستک دیتی ہے ۔	ایک بڑی سبز گیند آلو سے ٹکراتی ہے ۔
194	3	ایک بلی کی بورڈ بجا رہی ہے ۔	ایک بلی پیانو بجا رہی ہے ۔
195	4.2	دو کتے ایک تالاب میں تیرتے ہیں ۔	کتے تالاب میں تیر رہے ہیں ۔
196	2	اس شخص نے پیاز کاٹنے کے لیے چاپر کا استعمال کیا ۔	اس شخص نے پوٹاٹو کاٹنے کے لیے ایک مشین کا استعمال کیا ۔
197	5	ایک عورت ٹوفو کاٹ رہی ہے ۔	ایک عورت ٹوفو کاٹ رہی ہے ۔
198	3	ہرنوں کا ایک جھنڈ سڑک پار کر رہا ہے ۔	کیریبو کا ایک جھنڈ سڑک عبور کر رہا ہے ۔
199	3.8	وہ شخص گھوڑے پر سوار ہے ۔	ایک آدمی گھوڑے پر سوار ہے ۔
200	0	کوئی جانور کو کھانا کھلا رہا ہے ۔	کوئی پیانو بجا رہا ہے ۔
201	0	کوئی ٹورٹلا کاٹ رہا ہے ۔	کوئی گھوڑے پر سوار ہے ۔
202	0.25	کوئی اجزاء ملا رہا ہے ۔	کوئی چیزیں سلائی کر رہا ہے ۔
203	4	ایک مرغا مردہ چوہے کو چونچ مار رہا ہے ۔	ایک مرغی مردہ چوہے کو چونچ مار رہی ہے ۔
204	3.25	ایک عورت نے کینگرو پکڑا ہوا ہے ۔	ایک عورت کینگرو اٹھا رہی ہے ۔
205	0.75	ایک آدمی مینڈکوں کے ساتھ کھیل رہا ہے	ایک بلی کیمرے کے ساتھ کھیل رہی ہے ۔
206	1.5	دو آدمی بات کر رہے ہیں ۔	دو آدمی گٹار بجا رہے ہیں ۔
207	3.5	ایک آدمی روٹی کے ایک بڑے ٹکڑے پر مکھن پھیلاتا ہے ۔	ایک آدمی لہسن کی روٹی کے ٹکڑے پر مکھن ملا رہا ہے ۔
208	3	ایک آدمی اونچے تار کے پار دوڑ رہا ہے ۔	ایک آدمی رسی پر دوڑ رہا ہے ۔
209	0.2	ایک آدمی لان کاٹ رہا ہے ۔	ایک عورت لیموں کاٹ رہی ہے ۔
210	0.8	ایک آدمی دروازہ کھول رہا ہے ۔	ایک آدمی گٹار بجا رہا ہے ۔
211	4.2	ایک آدمی آلو کو ٹکڑوں میں کاٹ رہا ہے ۔	ایک آدمی آلو کاٹ رہا ہے ۔
212	3.8	عورت پکا ہوا آکٹوپس کاٹ رہی ہے ۔	ایک عورت آکٹوپس کاٹ رہی ہے ۔
213	0.4	ایک آدمی تختوں پر مکے مار رہا ہے ۔	ایک کتا پانی میں دوڑ رہا ہے ۔
214	0.8	ایک آدمی ناچ رہا ہے ۔	ایک آدمی روٹی کھا رہا ہے ۔
215	1.2	کوئی پیانو بجا رہا ہے ۔	ایک آدمی گٹار بجا رہا ہے ۔
216	2.8	اینٹوں کے صحن میں ایک پلیٹ سے دو لومڑی کھا رہے ہیں ۔	لومڑی ایک پلیٹ سے کھا رہے ہیں ۔
217	3.2	ایک لڑکا کلیدی تختہ بجا رہا ہے ۔	ایک لڑکا پیانو بجا رہا ہے ۔
218	5	ایک شخص کی بورڈ بجاتا ہے ۔	کوئی کی بورڈ چلا رہا ہے ۔
219	0	ایک آدمی بندوق چلا رہا ہے ۔	ایک آدمی تھوک رہا ہے ۔
220	1	کوئی پیاز کاٹ رہا ہے ۔	کوئی آلو چھیل رہا ہے ۔
221	0	ایک آدمی تیر رہا ہے ۔	ایک عورت گوشت کاٹ رہی ہے ۔
222	3.75	ایک آدمی گٹار بجا رہا ہے ۔	ایک آدمی صوتی گٹار بجاتا ہے ۔
223	0.4	ایک عورت کدو کاٹ رہی ہے ۔	ایک عورت ہاتھی پر سوار ہے ۔
224	0.4	ایک عورت ناچ رہی ہے ۔	ایک عورت آٹا گوند رہی ہے ۔
225	0.6	ایک عورت ایک پیالے میں انڈے توڑ رہی ہے ۔	ایک عورت ریک پر سکیور لگا رہی ہے ۔
226	4	ایک گاڑی سڑک سے گزر رہی ہے ۔	ایک کار سڑک پر چل رہی ہے ۔
227	0.4	کوئی پین پر چکنائی کر رہا ہے ۔	کوئی لیٹا ہوا ہے ۔
